,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,agegroup,hoursgroup,nativecountry,income
0,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
1,Federal-gov,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,30 - 39,60 - 69,United-States,>50K
2,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
3,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
4,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
5,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
6,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
7,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,40 - 49,60 - 69,United-States,>50K
8,Self-emp-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
9,Private,Masters,14,Married-civ-spouse,Protective-serv,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
10,Private,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,50 - 59,20 - 29,United-States,>50K
11,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,30 - 39,90 - 99,United-States,>50K
12,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
13,Federal-gov,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,60 - 69,40 - 49,United-States,>50K
14,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,50 - 59,Germany,>50K
15,Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40 - 49,50 - 59,United-States,>50K
16,Private,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
17,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,30 - 39,40 - 49,United-States,>50K
18,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50 - 59,50 - 59,United-States,>50K
19,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
20,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40 - 49,50 - 59,United-States,>50K
21,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40 - 49,40 - 49,United-States,>50K
22,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50 - 59,40 - 49,United-States,>50K
